,Price,Manufacturer,Model,Prod. year,title_status,Mileage,Color,state,Levy,Category,Leather interior,Fuel type,Engine volume,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Airbags
0,6300,toyota,cruiser,2008,clean vehicle,274117.0,black,new jersey,,,,,,,,,,,
1,2899,ford,se,2011,clean vehicle,190552.0,silver,tennessee,,,,,,,,,,,
2,5350,dodge,mpv,2018,clean vehicle,39590.0,silver,georgia,,,,,,,,,,,
3,25000,ford,door,2014,clean vehicle,64146.0,blue,virginia,,,,,,,,,,,
4,27700,chevrolet,1500,2018,clean vehicle,6654.0,red,florida,,,,,,,,,,,
5,5700,dodge,mpv,2018,clean vehicle,45561.0,white,texas,,,,,,,,,,,
6,7300,chevrolet,pk,2010,clean vehicle,149050.0,black,georgia,,,,,,,,,,,
7,13350,gmc,door,2017,clean vehicle,23525.0,gray,california,,,,,,,,,,,
8,14600,chevrolet,malibu,2018,clean vehicle,9371.0,silver,florida,,,,,,,,,,,
9,5250,ford,mpv,2017,clean vehicle,63418.0,black,texas,,,,,,,,,,,
10,10400,dodge,coupe,2009,clean vehicle,107856.0,orange,georgia,,,,,,,,,,,
11,12920,gmc,mpv,2017,clean vehicle,39650.0,white,california,,,,,,,,,,,
12,31900,chevrolet,1500,2018,clean vehicle,22909.0,black,tennessee,,,,,,,,,,,
13,5430,chrysler,wagon,2017,clean vehicle,138650.0,gray,texas,,,,,,,,,,,
14,20700,ford,door,2013,clean vehicle,100757.0,black,virginia,,,,,,,,,,,
15,12710,gmc,door,2017,clean vehicle,25747.0,white,california,,,,,,,,,,,
16,5200,kia,forte,2018,clean vehicle,46194.0,blue,north carolina,,,,,,,,,,,
17,16500,buick,encore,2018,clean vehicle,20002.0,red,tennessee,,,,,,,,,,,
18,5210,ford,mpv,2017,clean vehicle,35714.0,white,texas,,,,,,,,,,,
19,38100,ford,door,2013,clean vehicle,54380.0,gray,virginia,,,,,,,,,,,
20,12520,gmc,door,2017,clean vehicle,30114.0,white,california,,,,,,,,,,,
21,7300,kia,forte,2018,clean vehicle,38823.0,black,north carolina,,,,,,,,,,,
22,15000,chevrolet,door,2015,clean vehicle,61578.0,black,ohio,,,,,,,,,,,
23,6180,ford,mpv,2017,clean vehicle,46010.0,blue,texas,,,,,,,,,,,
24,20800,ford,door,2013,clean vehicle,105510.0,silver,virginia,,,,,,,,,,,
25,11900,gmc,door,2017,clean vehicle,28040.0,silver,california,,,,,,,,,,,
26,21500,kia,sorento,2020,clean vehicle,11451.0,blue,north carolina,,,,,,,,,,,
27,12000,buick,door,2014,clean vehicle,31039.0,brown,ohio,,,,,,,,,,,
28,4190,ford,doors,2017,clean vehicle,44174.0,white,texas,,,,,,,,,,,
29,13000,ford,chassis,2008,clean vehicle,93698.0,white,tennessee,,,,,,,,,,,
30,12710,gmc,door,2017,clean vehicle,26364.0,silver,california,,,,,,,,,,,
31,18500,infiniti,q70,2016,clean vehicle,71967.0,gray,new york,,,,,,,,,,,
32,29800,chevrolet,camaro,1973,clean vehicle,46226.0,red,pennsylvania,,,,,,,,,,,
33,5330,ford,mpv,2017,clean vehicle,37792.0,no_color,texas,,,,,,,,,,,
34,13000,ford,convertible,2003,clean vehicle,58817.0,gray,virginia,,,,,,,,,,,
35,11900,gmc,door,2017,clean vehicle,27965.0,black,california,,,,,,,,,,,
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,new york,,,,,,,,,,,
37,19200,chevrolet,1500,2018,clean vehicle,2430.0,white,tennessee,,,,,,,,,,,
38,7320,ford,mpv,2017,clean vehicle,32366.0,gold,texas,,,,,,,,,,,
39,7000,ford,pk,2003,clean vehicle,176567.0,white,tennessee,,,,,,,,,,,
40,12710,gmc,door,2017,clean vehicle,30049.0,white,california,,,,,,,,,,,
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,new york,,,,,,,,,,,
42,30500,chevrolet,1500,2018,clean vehicle,30442.0,red,tennessee,,,,,,,,,,,
43,6330,ford,mpv,2017,clean vehicle,38123.0,red,texas,,,,,,,,,,,
44,55000,ford,srw,2017,clean vehicle,15273.0,black,pennsylvania,,,,,,,,,,,
45,12520,gmc,door,2017,clean vehicle,28972.0,black,california,,,,,,,,,,,
46,16200,jeep,compass,2019,clean vehicle,30061.0,red,north carolina,,,,,,,,,,,
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,tennessee,,,,,,,,,,,
48,5580,dodge,mpv,2017,clean vehicle,46829.0,gray,texas,,,,,,,,,,,
49,54000,ford,srw,2017,clean vehicle,26241.0,black,pennsylvania,,,,,,,,,,,
50,12710,gmc,mpv,2017,clean vehicle,39886.0,red,california,,,,,,,,,,,
51,16000,jeep,compass,2019,clean vehicle,31594.0,silver,north carolina,,,,,,,,,,,
52,27000,buick,enclave,2017,clean vehicle,32107.0,no_color,tennessee,,,,,,,,,,,
53,7760,ford,mpv,2017,clean vehicle,44794.0,gray,texas,,,,,,,,,,,
54,19600,chrysler,300,2019,clean vehicle,42648.0,gray,south carolina,,,,,,,,,,,
55,12920,gmc,mpv,2017,clean vehicle,39165.0,silver,california,,,,,,,,,,,
56,20000,jeep,cherokee,2019,clean vehicle,38355.0,charcoal,north carolina,,,,,,,,,,,
57,18100,buick,door,2017,clean vehicle,46766.0,silver,florida,,,,,,,,,,,
58,23000,chrysler,pacifica,2020,clean vehicle,2473.0,white,ohio,,,,,,,,,,,
59,18500,chrysler,300,2019,clean vehicle,38586.0,gray,south carolina,,,,,,,,,,,
60,13490,gmc,door,2017,clean vehicle,27842.0,white,california,,,,,,,,,,,
61,20700,jeep,cherokee,2019,clean vehicle,31156.0,white,north carolina,,,,,,,,,,,
62,17800,chevrolet,door,2017,clean vehicle,52435.0,black,florida,,,,,,,,,,,
63,6650,ford,door,2017,clean vehicle,29942.0,black,texas,,,,,,,,,,,
64,29100,chrysler,pacifica,2019,clean vehicle,25281.0,red,south carolina,,,,,,,,,,,
65,12710,gmc,door,2017,clean vehicle,32504.0,silver,california,,,,,,,,,,,
66,21100,jeep,cherokee,2019,clean vehicle,28649.0,silver,north carolina,,,,,,,,,,,
67,18600,chevrolet,door,2017,clean vehicle,35200.0,white,florida,,,,,,,,,,,
68,4340,ford,door,2017,clean vehicle,25602.0,silver,texas,,,,,,,,,,,
69,19300,chrysler,300,2019,clean vehicle,34801.0,gray,south carolina,,,,,,,,,,,
70,12780,gmc,door,2017,clean vehicle,31009.0,black,california,,,,,,,,,,,
71,15800,jeep,compass,2019,clean vehicle,35595.0,charcoal,north carolina,,,,,,,,,,,
72,29400,bmw,x3,2017,clean vehicle,23765.0,black,tennessee,,,,,,,,,,,
73,4430,ford,door,2017,clean vehicle,31792.0,black,texas,,,,,,,,,,,
74,19400,chrysler,300,2019,clean vehicle,33135.0,gray,south carolina,,,,,,,,,,,
75,12520,gmc,door,2017,clean vehicle,30636.0,red,california,,,,,,,,,,,
76,15900,jeep,compass,2019,clean vehicle,34502.0,red,north carolina,,,,,,,,,,,
77,26400,buick,door,2017,clean vehicle,25434.0,white,florida,,,,,,,,,,,
78,4140,ford,door,2017,clean vehicle,36732.0,black,texas,,,,,,,,,,,
79,18300,chrysler,300,2019,clean vehicle,41792.0,gray,south carolina,,,,,,,,,,,
80,12520,gmc,door,2017,clean vehicle,31992.0,black,california,,,,,,,,,,,
81,17900,jeep,compass,2019,clean vehicle,32501.0,red,north carolina,,,,,,,,,,,
